Autodrive, Distance measured, Angle measured, Desired Angle, Steering Error, Actuator speed, Forward, Reverse
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.100098,-2.629100,0.000000,2.629100,717.744385,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.344574,-2.755128,0.000000,2.755128,752.149902,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.344574,-2.755128,0.000000,2.755128,752.149902,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.100098,-2.629100,0.000000,2.629100,717.744385,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.303833,-2.734126,0.000000,2.734126,746.416382,0,1
0,-5.344574,-2.755128,0.000000,2.755128,752.149902,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.222321,-2.692106,0.000000,2.692106,734.945007,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-5.181580,-2.671104,0.000000,2.671104,729.211426,0,1
0,-5.100098,-2.629100,0.000000,2.629100,717.744385,0,1
