Distance measured, Angle measured, Desired Angle, Steering Error, Actuator speed, Forward, Reverse
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.343689,-0.692672,0.000000,0.692672,189.099365,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.343689,-0.692672,0.000000,0.692672,189.099365,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.791870,-0.923709,0.000000,0.923709,252.172562,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.588135,-0.818683,0.000000,0.818683,223.500580,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.384430,-0.713674,0.000000,0.713674,194.832901,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.425171,-0.734676,0.000000,0.734676,200.566437,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.465912,-0.755678,0.000000,0.755678,206.299973,0,1
-1.547394,-0.797682,0.000000,0.797682,217.767059,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
-1.506653,-0.776680,0.000000,0.776680,212.033508,0,1
